"id","country_id","season","stage","date","hometeam_id","awayteam_id","home_goal","away_goal"
897,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",8571,9998,2,2
898,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",9989,10000,2,1
899,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",10001,1773,1,3
900,1,"2011/2012",25,"2012-02-11T00:00:00.000Z",9984,8203,1,0
901,1,"2011/2012",26,"2012-02-19T00:00:00.000Z",8342,8571,2,1
902,1,"2011/2012",26,"2012-02-19T00:00:00.000Z",8635,10001,3,1
903,1,"2011/2012",26,"2012-02-18T00:00:00.000Z",9997,9989,1,1
904,1,"2011/2012",26,"2012-02-19T00:00:00.000Z",10000,9985,4,2
905,1,"2011/2012",26,"2012-02-18T00:00:00.000Z",1773,9984,2,3
906,1,"2011/2012",26,"2012-02-18T00:00:00.000Z",9994,9991,1,1
907,1,"2011/2012",26,"2012-02-18T00:00:00.000Z",8203,9993,2,1
908,1,"2011/2012",26,"2012-02-18T00:00:00.000Z",9998,9987,1,2
909,1,"2011/2012",27,"2012-02-26T00:00:00.000Z",9985,9997,0,0
910,1,"2011/2012",27,"2012-02-26T00:00:00.000Z",9987,8342,3,0
911,1,"2011/2012",27,"2012-02-25T00:00:00.000Z",9993,1773,2,1
912,1,"2011/2012",27,"2012-02-25T00:00:00.000Z",8571,9994,2,5
913,1,"2011/2012",27,"2012-02-26T00:00:00.000Z",9989,8635,0,0
914,1,"2011/2012",27,"2012-02-25T00:00:00.000Z",10001,8203,1,3
915,1,"2011/2012",27,"2012-02-25T00:00:00.000Z",9984,10000,1,0
916,1,"2011/2012",27,"2012-02-25T00:00:00.000Z",9991,9998,2,0
917,1,"2011/2012",28,"2012-03-04T00:00:00.000Z",8342,9985,1,0
918,1,"2011/2012",28,"2012-03-04T00:00:00.000Z",8635,9984,4,0
919,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",9997,10000,1,0
920,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",1773,9989,0,0
921,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",9994,10001,4,0
922,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",8571,9987,3,2
923,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",8203,9991,0,2
924,1,"2011/2012",28,"2012-03-03T00:00:00.000Z",9998,9993,4,2
925,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9985,1773,4,0
926,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9991,8571,3,1
927,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9993,9994,2,2
928,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9997,8635,2,2
929,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",10000,8203,2,0
930,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9989,9998,1,1
931,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",10001,9987,3,2
932,1,"2011/2012",29,"2012-03-18T00:00:00.000Z",9984,8342,1,2
933,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",8342,1773,1,0
934,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",9987,10000,2,2
935,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",9991,9985,3,1
936,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",9993,10001,3,1
937,1,"2011/2012",3,"2011-08-14T00:00:00.000Z",9994,8635,0,1
938,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",8571,9984,2,0
939,1,"2011/2012",3,"2011-08-14T00:00:00.000Z",8203,9989,2,1
940,1,"2011/2012",3,"2011-08-13T00:00:00.000Z",9998,9997,4,2
941,1,"2011/2012",30,"2012-03-21T00:00:00.000Z",8342,9989,1,0
942,1,"2011/2012",30,"2012-03-21T00:00:00.000Z",8635,10000,2,1
943,1,"2011/2012",30,"2012-03-21T00:00:00.000Z",9987,9991,3,1
944,1,"2011/2012",30,"2012-03-21T00:00:00.000Z",1773,9997,3,1
945,1,"2011/2012",30,"2012-03-21T00:00:00.000Z",9994,9984,1,0
